url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/ghoul_scout_zombie_massacre,,,
https://www.rottentomatoes.com/m/the_house,,,
https://www.rottentomatoes.com/m/reflections,,,
https://www.rottentomatoes.com/m/cataclysm,,11,
https://www.rottentomatoes.com/m/amy,,75,
https://www.rottentomatoes.com/m/dead_by_midnight_y2kill,,,
https://www.rottentomatoes.com/m/infestation,,33,
https://www.rottentomatoes.com/m/the_girl_who_cried_her_eyes_out,,,
https://www.rottentomatoes.com/m/dinoshark,,21,
https://www.rottentomatoes.com/m/the_war_of_the_gargantuas,,66,
https://www.rottentomatoes.com/m/sky_monster,,,
https://www.rottentomatoes.com/m/a_mothers_touch,,,
https://www.rottentomatoes.com/m/the-red-dress,,,
https://www.rottentomatoes.com/m/dont_run,,,
https://www.rottentomatoes.com/m/parasomnia,,27,
https://www.rottentomatoes.com/m/ghost_tv,,,
https://www.rottentomatoes.com/m/the-pact,,,
https://www.rottentomatoes.com/m/into-the-woods,,63,
https://www.rottentomatoes.com/m/she_wolf,,,
https://www.rottentomatoes.com/m/the-surrogate,,40,
https://www.rottentomatoes.com/m/dinner_for_two,,,
https://www.rottentomatoes.com/m/pillow-of-death,,23,
https://www.rottentomatoes.com/m/ebola_rex,,,
https://www.rottentomatoes.com/m/nobody_gets_out_alive,,15,
https://www.rottentomatoes.com/m/shell,90,66,
https://www.rottentomatoes.com/m/the_maid,,,
https://www.rottentomatoes.com/m/undertaker,,,
https://www.rottentomatoes.com/m/bring_me_a_skin_for_dancing_in,,,
https://www.rottentomatoes.com/m/the_mole_man_of_belmont_avenue,,33,
