id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
not_of_this_earth_1957,https://www.rottentomatoes.com/m/not_of_this_earth_1957,,43.0,
shattered_2022,https://www.rottentomatoes.com/m/shattered_2022,19.0,63.0,
isle_of_the_dead_2016,https://www.rottentomatoes.com/m/isle_of_the_dead_2016,,20.0,
house_of_bones_2010,https://www.rottentomatoes.com/m/house-of-bones-2010,,20.0,
the_black_cat_1981,https://www.rottentomatoes.com/m/the_black_cat_1981,33.0,26.0,
trespassers_2019,https://www.rottentomatoes.com/m/trespassers_2019,62.0,64.0,
deer_crossing_2012,https://www.rottentomatoes.com/m/deer_crossing_2012,,33.0,
escape_room_2017,https://www.rottentomatoes.com/m/escape_room_2017,,13.0,
the_gracefield_incident_2017,https://www.rottentomatoes.com/m/the_gracefield_incident_2017,11.0,16.0,
sound_of_silence_2023,https://www.rottentomatoes.com/m/sound_of_silence_2023,63.0,56.0,
the_visitor_2025,https://www.rottentomatoes.com/m/the_visitor_2024,94.0,95.0,
found_2012,https://www.rottentomatoes.com/m/found_2014,71.0,47.0,
maniac_1934,https://www.rottentomatoes.com/m/maniac_1934,89.0,32.0,
war_of_the_worlds_the_true_story_2011,https://www.rottentomatoes.com/m/war_of_the_worlds_the_true_story_2012,,64.0,
the_tall_man_2012,https://www.rottentomatoes.com/m/the_tall_man_2012,40.0,38.0,
the_siren_2019,https://www.rottentomatoes.com/m/the_siren_2019,,70.0,
germ_z_2013,https://www.rottentomatoes.com/m/germ_2013,,15.0,
one_of_us_2017,https://www.rottentomatoes.com/m/one_of_us_2017,96.0,83.0,"Harrowing and heartbreaking, One of Us offers an intimate, revealing glimpse inside a notoriously private community and those who would dare defy it."
mayhem_2017,https://www.rottentomatoes.com/m/mayhem_2017,84.0,66.0,Mayhem delivers stylish violence by the bloody bucketful -- and grounds all the titular chaos in sharp humor and surprisingly effective real-world economic angst.
feardotcom_2002,https://www.rottentomatoes.com/m/feardotcom_2002,3.0,18.0,"As frustrating as a 404 error, Fear Dot Com is a stylish, incoherent, and often nasty mess with few scares."
among_us_2017,https://www.rottentomatoes.com/m/among_us_2017,,56.0,
cargo_2017,https://www.rottentomatoes.com/m/cargo_2018,88.0,67.0,Cargo takes a refreshingly character-driven approach to the zombie genre that's further distinguished by its Australian setting and Martin Freeman's terrific lead performance.
the_strangler_1964,https://www.rottentomatoes.com/m/the_strangler_1964,,57.0,
night_of_terror_1933,https://www.rottentomatoes.com/m/night_of_terror-1933,,33.0,
the_outer_wild_2018,https://www.rottentomatoes.com/m/the_outer_wild_2018,,17.0,
larva_2005,https://www.rottentomatoes.com/m/larva_2005,,21.0,
trapped_1982,https://www.rottentomatoes.com/m/trapped_1982,,30.0,
legion_of_the_dead_2005,https://www.rottentomatoes.com/m/legion_of_the_dead_2005,,36.0,
the_devils_daughter_1939,https://www.rottentomatoes.com/m/the_devils_daughter_1939,40.0,12.0,
deep_red_1975,https://www.rottentomatoes.com/m/deep_red_1975,94.0,85.0,"The kinetic camerawork and brutal over-the-top gore that made Dario Argento famous is on full display, but the addition of a compelling, complex story makes Deep Red a masterpiece."
undead_2003,https://www.rottentomatoes.com/m/undead_2003,32.0,44.0,This low-budget homage to the zombie genre borrows heavily from superior predecessors and revels in a pile of its own campiness -- neither original nor watchable enough to entertain.
invaders_from_mars_1986,https://www.rottentomatoes.com/m/invaders_from_mars_1986,38.0,32.0,
chandramukhi_ke_hunkar_2005,https://www.rottentomatoes.com/m/chandramukhi_2005,,73.0,
dead_by_dawn_2020,https://www.rottentomatoes.com/m/dead_by_dawn_2020,,38.0,
gag_2006,https://www.rottentomatoes.com/m/gag_2006,,7.0,
the_teacher_2025,https://www.rottentomatoes.com/m/the_teacher_2023,83.0,,"A political drama that hits a raw emotional nerve thanks in part to Saleh Bakri's terrific lead performance, The Teacher marks an auspicious feature-length debut by writer-director Farah Nabulsi."
