tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt0062690,The Awakening of the Beast,91378,The Awakening of the Beast,"Drama,Horror",6.0,1434.0
tt0063142,Isle of the Snake People,50688,Isle of the Snake People,"Horror,Mystery",3.4,1160.0
tt0063522,Rosemary's Baby,805,Rosemary's Baby,"Drama,Horror",8.0,257470.0
tt0063594,She Mob,93758,She Mob,Drama,4.6,306.0
tt0063721,Trilogy of Terror,122926,Trilogy of Terror,Horror,6.0,161.0
tt0063729,Twisted Nerve,56092,Twisted Nerve,"Drama,Thriller",7.0,2808.0
tt0064631,The Man Who Thought Life,96148,The Man Who Thought Life,"Sci-Fi,Thriller",6.9,356.0
tt0064801,Satan's Profile,422728,El perfil de Satanás,Horror,4.4,17.0
tt0064902,The Blood Rose,90887,The Blood Rose,"Horror,Thriller",5.6,582.0
tt0065119,A Quiet Place in the Country,92927,A Quiet Place in the Country,"Drama,Fantasy,Horror",6.4,2441.0
tt0065458,"Bite Me, Darling",188220,The Amorous Adventures of a Young Postman,"Comedy,Horror",3.2,61.0
tt0065491,Mark of the Devil,39931,Mark of the Devil,"Drama,History,Horror",6.1,4505.0
tt0065858,How Awful About Allan,71944,How Awful About Allan,"Horror,Thriller",5.7,1136.0
tt0065994,Lokis: A Manuscript of Professor Wittembach,83193,Lokis: A Manuscript of Professor Wittembach,"Fantasy,Horror",6.2,838.0
tt0066132,Web of the Spider,49130,Web of the Spider,Horror,5.5,993.0
tt0066140,Night Slaves,217085,Night Slaves,"Mystery,Sci-Fi",6.0,422.0
tt0066735,Four Flies on Grey Velvet,30689,Four Flies on Grey Velvet,"Crime,Mystery,Thriller",6.5,11093.0
tt0066802,The Manipulator,81480,The Manipulator,Thriller,3.9,355.0
tt0066863,The Brotherhood of Satan,42519,The Brotherhood of Satan,Horror,5.5,2148.0
tt0066887,Capulina vs. the Vampires,371161,Capulina contra los vampiros,"Comedy,Fantasy,Horror",5.8,96.0
tt0066958,Crucible of Terror,79576,Crucible of Terror,"Drama,Horror",4.4,886.0
tt0066991,The Devil and Miss Sarah,252880,The Devil and Miss Sarah,"Drama,Horror,Western",5.9,94.0
tt0066993,The Devils,31767,The Devils,"Biography,Drama,History",7.7,21252.0
tt0067480,Necrophagous,101457,The Butcher of Binbrook,Horror,4.0,439.0
tt0067499,Nobody Ordered Love,398896,Nobody Ordered Love,"Drama,Horror",7.3,34.0
tt0067520,In the Eye of the Hurricane,105091,In the Eye of the Hurricane,"Mystery,Romance,Thriller",6.2,722.0
